Payment Date,10/15/17,01/15/18,04/15/18,07/15/18,10/15/18,01/15/19,04/15/19,07/15/19,10/15/19,01/15/20,04/15/20,07/15/20,10/15/20,01/15/21,04/15/21,07/15/21,10/15/21,01/15/22,04/15/22,07/15/22,10/15/22,01/15/23,04/15/23,07/15/23,10/15/23,01/15/24,04/15/24,07/15/24,10/15/24,01/15/25,04/15/25,07/15/25,10/15/25,01/15/26,04/15/26,07/15/26,10/15/26,01/15/27,04/15/27,07/15/27,10/15/27,01/15/28,04/15/28,07/15/28,10/15/28,01/15/29,04/15/29,07/15/29,10/15/29,01/15/30,04/15/30,07/15/30,10/15/30,01/15/31,04/15/31,07/15/31,10/15/31,01/15/32,04/15/32,07/15/32,10/15/32,01/15/33,04/15/33,07/15/33,10/15/33,01/15/34,04/15/34,07/15/34,10/15/34,01/15/35,04/15/35,07/15/35,10/15/35,01/15/36,04/15/36,07/15/36,10/15/36,01/15/37,04/15/37,07/15/37,10/15/37,01/15/38,04/15/38,07/15/38,10/15/38,01/15/39,04/15/39,07/15/39,10/15/39,01/15/40,04/15/40,07/15/40,10/15/40,01/15/41,04/15/41,07/15/41,10/15/41,01/15/42,04/15/42,07/15/42,10/15/42,01/15/43,04/15/43,07/15/43,10/15/43,01/15/44,04/15/44,07/15/44,10/15/44,01/15/45,04/15/45,07/15/45,10/15/45,01/15/46,04/15/46,07/15/46,10/15/46,01/15/47,04/15/47,07/15/47,10/15/47,01/15/48,04/15/48,07/15/48,10/15/48,01/15/49,04/15/49,07/15/49,10/15/49,01/15/50,04/15/50,07/15/50,10/15/50,01/15/51,04/15/51,07/15/51,10/15/51,01/15/52,04/15/52,07/15/52,
	G Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	H Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	I Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	SUB Balance,3.6e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Amounts Due Before Interest Waterall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	Admin Fees (Floating),45369.9,45390.1,43768.2,40410.4,35515.8,29820.6,23912.5,19563.4,15750.2,12370.8,9522.79,7376.96,5741.15,4381.54,3255.47,2506.19,1915.87,1439.06,1054.28,801.806,7472.01,7034.42,6478.34,6174.23,5879.81,5534.9,5153.44,4853.93,4621.92,4350.24,4005.38,3816.4,3633.44,3419.32,3147.71,2998.67,2854.37,2685.61,2471.74,2354.17,2240.34,2107.33,1960.52,1845.03,1755.26,1650.5,1518.1,1444.93,1374.08,1291.51,1187.36,1129.6,1073.66,1008.58,926.698,881.069,836.879,785.587,729.269,684.731,649.823,609.423,558.954,530.447,502.833,470.992,431.417,408.849,386.984,361.888,330.9,313.012,295.677,275.898,254.473,237.299,223.544,207.964,189.09,177.805,166.863,154.583,139.91,130.914,122.189,112.511,101.148,93.958,86.98,79.3518,71.3833,64.7609,59.1633,53.1547,46.4634,41.8192,37.3062,32.5702,27.4989,23.7377,20.0795,16.3466,12.5521,9.48682,6.50238,3.55998,0.780324,-1.77302,-4.22512,-6.54291,-8.53606,-10.6194,-12.6533,-14.4803,-15.8488,-17.5917,-19.2959,-20.7362,-21.6124,-23.0869,-24.5313,-25.6668,-26.4455,-27.4297,-28.6689,-29.5634,-29.7449,-30.8407,-31.9186,-32.6239,-32.5645,-33.5291,-34.4798,-35.036,-34.7868,-35.6479,-36.4985,-36.9372,-36.9443,-37.3235,
	Admin Fees (Fixed),50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49315.1,49863,50411,50411,49863,49863,
	Senior Management Fee,453699,453901,437682,404104,355158,298206,239125,195634,157502,123708,95227.9,73769.6,57411.5,43815.4,32554.7,25061.9,19158.7,14390.6,10542.8,8018.06,74720.1,70344.2,64783.4,61742.3,58798.1,55349,51534.4,48539.3,46219.2,43502.4,40053.8,38164,36334.4,34193.2,31477.1,29986.7,28543.7,26856.1,24717.4,23541.7,22403.4,21073.3,19605.2,18450.3,17552.6,16505,15181,14449.3,13740.8,12915.1,11873.6,11296,10736.6,10085.8,9266.98,8810.69,8368.79,7855.87,7292.69,6847.31,6498.23,6094.23,5589.54,5304.47,5028.33,4709.92,4314.17,4088.49,3869.84,3618.88,3309,3130.12,2956.77,2758.98,2544.73,2372.99,2235.44,2079.64,1890.9,1778.05,1668.63,1545.83,1399.1,1309.14,1221.89,1125.11,1011.48,939.58,869.8,793.518,713.833,647.609,591.633,531.547,464.634,418.192,373.062,325.702,274.989,237.377,200.795,163.466,125.521,94.8682,65.0238,35.5998,7.80324,-17.7302,-42.2512,-65.4291,-85.3606,-106.194,-126.533,-144.803,-158.488,-175.917,-192.959,-207.362,-216.124,-230.869,-245.313,-256.668,-264.455,-274.297,-286.689,-295.634,-297.449,-308.407,-319.186,-326.239,-325.645,-335.291,-344.798,-350.36,-347.868,-356.479,-364.985,-369.372,-369.443,-373.235,
	Subordinate Management Fee,453699,453901,437682,404104,355158,298206,239125,195634,157502,123708,95227.9,73769.6,57411.5,43815.4,32554.7,25061.9,19158.7,14390.6,10542.8,8018.06,74720.1,70344.2,64783.4,61742.3,58798.1,55349,51534.4,48539.3,46219.2,43502.4,40053.8,38164,36334.4,34193.2,31477.1,29986.7,28543.7,26856.1,24717.4,23541.7,22403.4,21073.3,19605.2,18450.3,17552.6,16505,15181,14449.3,13740.8,12915.1,11873.6,11296,10736.6,10085.8,9266.98,8810.69,8368.79,7855.87,7292.69,6847.31,6498.23,6094.23,5589.54,5304.47,5028.33,4709.92,4314.17,4088.49,3869.84,3618.88,3309,3130.12,2956.77,2758.98,2544.73,2372.99,2235.44,2079.64,1890.9,1778.05,1668.63,1545.83,1399.1,1309.14,1221.89,1125.11,1011.48,939.58,869.8,793.518,713.833,647.609,591.633,531.547,464.634,418.192,373.062,325.702,274.989,237.377,200.795,163.466,125.521,94.8682,65.0238,35.5998,7.80324,-17.7302,-42.2512,-65.4291,-85.3606,-106.194,-126.533,-144.803,-158.488,-175.917,-192.959,-207.362,-216.124,-230.869,-245.313,-256.668,-264.455,-274.297,-286.689,-295.634,-297.449,-308.407,-319.186,-326.239,-325.645,-335.291,-344.798,-350.36,-347.868,-356.479,-364.985,-369.372,-369.443,-373.235,
Interest Waterall,2.67851e+06,2.64239e+06,2.49908e+06,2.40211e+06,2.14751e+06,1.80404e+06,1.42499e+06,1.10322e+06,717998,40126.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	A Interest,1.43289e+06,1.39562e+06,1.2788e+06,1.17047e+06,902492,558550,206575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	B Interest,329213,329683,322771,325454,328966,329161,322006,196794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	C Interest,219402,219647,215005,216923,219273,219375,214606,217010,20980.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	D Interest,275979,276203,270321,272892,275860,275954,269955,272973,275985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	E Interest,421027,421231,412185,416372,420919,421004,411852,416445,421032,40126.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	F Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	G Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	H Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	I Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	SUB Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Principal Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	A Principal Repayment,8.00105e+06,1.80009e+07,2.3988e+07,5.64412e+07,6.92817e+07,6.98359e+07,4.24512e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	B Principal Repayment,0,0,0,0,0,0,2.04741e+07,3.12759e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	C Principal Repayment,0,0,0,0,0,0,0,2.44181e+07,2.58186e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	D Principal Repayment,0,0,0,0,0,0,0,0,2.475e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	E Principal Repayment,0,0,0,0,0,0,0,0,2.03558e+07,2.14421e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	F Principal Repayment,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	G Principal Repayment,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	H Principal Repayment,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	I Principal Repayment,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SUB Principal Repayment,0,0,0,0,0,0,0,0,0,3.6e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts of Portfolio Proceeds after Interest,5.33709e+07,6.10837e+07,1.97177e+08,1.81814e+08,1.59647e+08,1.34017e+08,1.07558e+08,8.80038e+07,7.09756e+07,5.6257e+07,4.49143e+07,6.68521e+07,8.46575e+07,9.85854e+07,1.0913e+08,1.17546e+08,1.24084e+08,1.29047e+08,1.32708e+08,1.35551e+08,3.39671e+07,3.19747e+07,2.94689e+07,2.80708e+07,2.6718e+07,2.51477e+07,2.34215e+07,2.20573e+07,2.09912e+07,1.97544e+07,1.82008e+07,1.73319e+07,1.64911e+07,1.55162e+07,1.42929e+07,1.36075e+07,1.29443e+07,1.2176e+07,1.12129e+07,1.06722e+07,1.01489e+07,9.54335e+06,8.8793e+06,8.35327e+06,7.94053e+06,7.46358e+06,6.86774e+06,6.53105e+06,6.20519e+06,5.82928e+06,5.36079e+06,5.09487e+06,4.83749e+06,4.54121e+06,4.17309e+06,3.96295e+06,3.75953e+06,3.52602e+06,3.27158e+06,3.06873e+06,2.90795e+06,2.72402e+06,2.4975e+06,2.36605e+06,2.23877e+06,2.09381e+06,1.91639e+06,1.81223e+06,1.71136e+06,1.59711e+06,1.4584e+06,1.37574e+06,1.29568e+06,1.20563e+06,1.10913e+06,1.03091e+06,967288,896360,812254,759945,709242,653339,588169,546384,505863,461802,411557,378067,345571,310843,275251,245089,218933,191579,162391,140602,119428,97866.9,75980.9,58249.9,41002.3,24007.9,7877.15,-6655.48,-20808.5,-34203.9,-46309,-57938.2,-69646.1,-80198,-88208.7,-98228.9,-108016,-116334,-121529,-129984,-138257,-144814,-147790,-155012,-162091,-167261,-170309,-174791,-180928,-185000,-184845,-190326,-195722,-198933,-197692,-202570,-207383,-209915,-207818,-212221,-216573,-218570,-218125,-219852,
Amounts of Unscheduled Portfolio Proceeds Reinvested,4.53699e+07,4.30827e+07,4.00215e+07,2.89847e+07,2.09006e+07,1.48445e+07,1.03139e+07,7.46965e+06,5.3863e+06,3.82557e+06,2.68754e+06,1.9169e+06,1.38226e+06,981736,682111,494004,356222,253003,175787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Amounts of Scheduled Portfolio Proceeds Reinvested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Amounts of Recovery Portfolio Proceeds Reinvested,0,0,1.33167e+08,9.6388e+07,6.94645e+07,4.93365e+07,3.43186e+07,2.48402e+07,1.79017e+07,1.27145e+07,8.93736e+06,6.3746e+06,4.59402e+06,3.26286e+06,2.26965e+06,1.6428e+06,1.18393e+06,840872,584913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total Reinvestments Due,4.53699e+07,4.30827e+07,1.73189e+08,1.25373e+08,9.03651e+07,6.4181e+07,4.46325e+07,3.23098e+07,2.3288e+07,1.65401e+07,1.16249e+07,8.2915e+06,5.97628e+06,4.2446e+06,2.95176e+06,2.1368e+06,1.54015e+06,1.09388e+06,760699,1.35551e+08,3.39671e+07,3.19747e+07,2.94689e+07,2.80708e+07,2.6718e+07,2.51477e+07,2.34215e+07,2.20573e+07,2.09912e+07,1.97544e+07,1.82008e+07,1.73319e+07,1.64911e+07,1.55162e+07,1.42929e+07,1.36075e+07,1.29443e+07,1.2176e+07,1.12129e+07,1.06722e+07,1.01489e+07,9.54335e+06,8.8793e+06,8.35327e+06,7.94053e+06,7.46358e+06,6.86774e+06,6.53105e+06,6.20519e+06,5.82928e+06,5.36079e+06,5.09487e+06,4.83749e+06,4.54121e+06,4.17309e+06,3.96295e+06,3.75953e+06,3.52602e+06,3.27158e+06,3.06873e+06,2.90795e+06,2.72402e+06,2.4975e+06,2.36605e+06,2.23877e+06,2.09381e+06,1.91639e+06,1.81223e+06,1.71136e+06,1.59711e+06,1.4584e+06,1.37574e+06,1.29568e+06,1.20563e+06,1.10913e+06,1.03091e+06,967288,896360,812254,759945,709242,653339,588169,546384,505863,461802,411557,378067,345571,310843,275251,245089,218933,191579,162391,140602,119428,97866.9,75980.9,58249.9,41002.3,24007.9,7877.15,-6655.48,-20808.5,-34203.9,-46309,-57938.2,-69646.1,-80198,-88208.7,-98228.9,-108016,-116334,-121529,-129984,-138257,-144814,-147790,-155012,-162091,-167261,-170309,-174791,-180928,-185000,-184845,-190326,-195722,-198933,-197692,-202570,-207383,-209915,-207818,-212221,-216573,-218570,-218125,-219852,
Actual Reinvestments,4.53699e+07,4.30827e+07,1.73189e+08,1.25373e+08,9.03651e+07,6.4181e+07,4.46325e+07,3.23098e+07,2.3288e+07,1.65401e+07,1.16249e+07,8.2915e+06,5.97628e+06,4.2446e+06,2.95176e+06,2.1368e+06,1.54015e+06,1.09388e+06,760699,1.35551e+08,3.39671e+07,3.19747e+07,2.94689e+07,2.80708e+07,2.6718e+07,2.51477e+07,2.34215e+07,2.20573e+07,2.09912e+07,1.97544e+07,1.82008e+07,1.73319e+07,1.64911e+07,1.55162e+07,1.42929e+07,1.36075e+07,1.29443e+07,1.2176e+07,1.12129e+07,1.06722e+07,1.01489e+07,9.54335e+06,8.8793e+06,8.35327e+06,7.94053e+06,7.46358e+06,6.86774e+06,6.53105e+06,6.20519e+06,5.82928e+06,5.36079e+06,5.09487e+06,4.83749e+06,4.54121e+06,4.17309e+06,3.96295e+06,3.75953e+06,3.52602e+06,3.27158e+06,3.06873e+06,2.90795e+06,2.72402e+06,2.4975e+06,2.36605e+06,2.23877e+06,2.09381e+06,1.91639e+06,1.81223e+06,1.71136e+06,1.59711e+06,1.4584e+06,1.37574e+06,1.29568e+06,1.20563e+06,1.10913e+06,1.03091e+06,967288,896360,812254,759945,709242,653339,588169,546384,505863,461802,411557,378067,345571,310843,275251,245089,218933,191579,162391,140602,119428,97866.9,75980.9,58249.9,41002.3,24007.9,7877.15,-6655.48,-20808.5,-34203.9,-46309,-57938.2,-69646.1,-80198,-88208.7,-98228.9,-108016,-116334,-121529,-129984,-138257,-144814,-147790,-155012,-162091,-167261,-170309,-174791,-180928,-185000,-184845,-190326,-195722,-198933,-197692,-202570,-207383,-209915,-207818,-212221,-216573,-218570,-218125,-219852,
