Payment Date,10/15/17,01/15/18,04/15/18,07/15/18,10/15/18,01/15/19,04/15/19,07/15/19,10/15/19,01/15/20,04/15/20,07/15/20,10/15/20,01/15/21,04/15/21,07/15/21,10/15/21,01/15/22,04/15/22,07/15/22,10/15/22,01/15/23,04/15/23,07/15/23,10/15/23,01/15/24,04/15/24,07/15/24,10/15/24,01/15/25,04/15/25,07/15/25,10/15/25,01/15/26,04/15/26,07/15/26,10/15/26,01/15/27,04/15/27,07/15/27,10/15/27,01/15/28,04/15/28,07/15/28,10/15/28,01/15/29,04/15/29,07/15/29,10/15/29,01/15/30,04/15/30,07/15/30,10/15/30,01/15/31,04/15/31,07/15/31,10/15/31,01/15/32,04/15/32,07/15/32,10/15/32,01/15/33,04/15/33,07/15/33,10/15/33,01/15/34,04/15/34,07/15/34,10/15/34,01/15/35,04/15/35,07/15/35,10/15/35,01/15/36,04/15/36,07/15/36,10/15/36,01/15/37,04/15/37,07/15/37,10/15/37,01/15/38,04/15/38,07/15/38,10/15/38,01/15/39,04/15/39,07/15/39,10/15/39,01/15/40,04/15/40,07/15/40,10/15/40,01/15/41,04/15/41,07/15/41,10/15/41,01/15/42,04/15/42,07/15/42,10/15/42,01/15/43,04/15/43,07/15/43,10/15/43,01/15/44,04/15/44,07/15/44,10/15/44,01/15/45,04/15/45,07/15/45,10/15/45,01/15/46,04/15/46,07/15/46,10/15/46,01/15/47,04/15/47,07/15/47,10/15/47,01/15/48,04/15/48,07/15/48,10/15/48,01/15/49,04/15/49,07/15/49,10/15/49,01/15/50,04/15/50,07/15/50,10/15/50,01/15/51,04/15/51,07/15/51,10/15/51,01/15/52,04/15/52,07/15/52,
	Initial Floating Assets No Floor Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	Initial Floating Assets With Floor Balance,9e+08,8.5463e+08,8.11547e+08,5.81287e+08,4.14605e+08,2.94469e+08,2.09144e+08,1.49803e+08,1.06848e+08,7.58876e+07,5.38985e+07,3.84433e+07,2.74198e+07,1.94747e+07,1.38317e+07,9.90722e+06,7.06636e+06,5.01881e+06,3.56457e+06,2.55319e+06,1.82107e+06,1.2934e+06,918624,657983,469308,333322,236739,168855,120436,85538.7,60753,43515.6,31037.6,22044.2,15656.7,11214.4,7998.71,5681.01,4034.88,2890.06,2061.35,1464.05,1039.83,741.662,528.993,375.712,266.846,191.134,136.327,96.8248,68.7689,49.2571,35.1328,24.9527,17.7224,12.694,9.05407,6.43057,4.56725,3.25761,2.3235,1.65024,1.17207,0.839518,0.598789,0.425284,0.302054,0.216352,0.154314,0.1096,0.0778424,0.0557561,0.0397683,0.028245,0.0200608,0.0143084,0.0102055,0.00724838,0.00514809,0.00368742,0.00263007,0.00186798,0.00132671,0.000950285,0.000677794,0.000481397,0.000341908,0.000244898,0.000174674,0.000124061,8.81131e-05,6.28469e-05,4.48258e-05,3.18371e-05,2.2612e-05,1.61963e-05,1.15521e-05,8.20474e-06,5.82734e-06,4.17395e-06,2.97708e-06,2.11444e-06,1.50176e-06,1.07567e-06,7.67224e-07,5.44913e-07,3.8702e-07,2.76043e-07,1.96889e-07,1.39838e-07,9.93189e-08,7.11391e-08,5.07402e-08,3.60377e-08,2.55955e-08,1.83333e-08,1.30763e-08,9.28729e-09,6.59621e-09,4.72466e-09,3.36988e-09,2.39343e-09,1.69991e-09,1.21247e-09,8.64796e-10,6.14213e-10,4.36239e-10,3.12465e-10,2.22867e-10,1.58289e-10,1.12423e-10,8.05253e-11,5.74349e-11,4.07926e-11,2.89726e-11,2.07522e-11,1.48016e-11,1.05127e-11,7.46652e-12,5.32552e-12,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Principal Balance,4.5e+08,4.41999e+08,4.23998e+08,4.0001e+08,3.43569e+08,2.74287e+08,2.04451e+08,1.41526e+08,8.58319e+07,3.81442e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	A Balance,2.88e+08,2.79999e+08,2.61998e+08,2.3801e+08,1.81569e+08,1.12287e+08,4.24512e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	B Balance,5.175e+07,5.175e+07,5.175e+07,5.175e+07,5.175e+07,5.175e+07,5.175e+07,3.12759e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	C Balance,2.7e+07,2.7e+07,2.7e+07,2.7e+07,2.7e+07,2.7e+07,2.7e+07,2.7e+07,2.58186e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	D Balance,2.475e+07,2.475e+07,2.475e+07,2.475e+07,2.475e+07,2.475e+07,2.475e+07,2.475e+07,2.475e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	E Balance,2.25e+07,2.25e+07,2.25e+07,2.25e+07,2.25e+07,2.25e+07,2.25e+07,2.25e+07,2.25e+07,2.14421e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	F Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
